𐠀 Cypriot Syllable A
𐠁 Cypriot Syllable E
𐠂 Cypriot Syllable I
𐠃 Cypriot Syllable O
𐠄 Cypriot Syllable U
𐠅 Cypriot Syllable Ja
𐠈 Cypriot Syllable Jo
𐠊 Cypriot Syllable Ka
𐠋 Cypriot Syllable Ke
𐠌 Cypriot Syllable Ki
𐠍 Cypriot Syllable Ko
𐠎 Cypriot Syllable Ku
𐠏 Cypriot Syllable La
𐠐 Cypriot Syllable Le
𐠑 Cypriot Syllable Li
𐠒 Cypriot Syllable Lo
𐠓 Cypriot Syllable Lu
𐠔 Cypriot Syllable Ma
𐠕 Cypriot Syllable Me
𐠖 Cypriot Syllable Mi
𐠗 Cypriot Syllable Mo
𐠘 Cypriot Syllable Mu
𐠙 Cypriot Syllable Na
𐠚 Cypriot Syllable Ne
𐠛 Cypriot Syllable Ni
𐠜 Cypriot Syllable No
𐠝 Cypriot Syllable Nu
𐠞 Cypriot Syllable Pa
𐠟 Cypriot Syllable Pe
𐠠 Cypriot Syllable Pi
𐠡 Cypriot Syllable Po
𐠢 Cypriot Syllable Pu
𐠣 Cypriot Syllable Ra
𐠤 Cypriot Syllable Re
𐠥 Cypriot Syllable Ri
𐠦 Cypriot Syllable Ro
𐠧 Cypriot Syllable Ru
𐠨 Cypriot Syllable Sa
𐠩 Cypriot Syllable Se
𐠪 Cypriot Syllable Si
𐠫 Cypriot Syllable So
𐠬 Cypriot Syllable Su
𐠭 Cypriot Syllable Ta
𐠮 Cypriot Syllable Te
𐠯 Cypriot Syllable Ti
𐠰 Cypriot Syllable To
𐠱 Cypriot Syllable Tu
𐠲 Cypriot Syllable Wa
𐠳 Cypriot Syllable We
𐠴 Cypriot Syllable Wi
𐠵 Cypriot Syllable Wo
𐠷 Cypriot Syllable Xa
𐠸 Cypriot Syllable Xe
𐠼 Cypriot Syllable Za
𐠿 Cypriot Syllable Zo
